Country/Territory of Seizure,Year,Quantity Seized,,,,,
Uzbekistan,2011,0.14477,,,,,
Venezuela (Bolivarian Republic of),2011,13055.503,,,,,
Venezuela (Bolivarian Republic of),2012,20105.4886,,,,,
Venezuela (Bolivarian Republic of),2013,5636.4925,,,,,
Venezuela (Bolivarian Republic of),2014,19496.920000000002,,,,,
Venezuela (Bolivarian Republic of),2018,3711.896,,,,,
Venezuela (Bolivarian Republic of),2019,2042.176,,,,,
Venezuela (Bolivarian Republic of),2020,4866.417,,,,,
Venezuela (Bolivarian Republic of),2023,25975.4149,,,,,
Venezuela (Bolivarian Republic of),2024,12229.01546,,,,,
Zambia,2014,9.02,,,,,
Zimbabwe,2022,0.013,,,,,
Zimbabwe,2023,0.008,,,,,
Zimbabwe,2024,0.002,,,,,
