DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Netherlands,Bulgaria,9,0.028,0.003,Non-specified cocaine-type,2014.0,2016.0
Netherlands,France,7,4.177,0.597,Non-specified cocaine-type,2014.0,2015.0
Netherlands,Hungary,1,0.15,0.15,Non-specified cocaine-type,2012.0,2012.0
Netherlands,Italy,3,13.976,4.659,Non-specified cocaine-type,2012.0,2013.0
Netherlands,Latvia,8,0.004,0.0,Non-specified cocaine-type,2015.0,2015.0
Netherlands,Norway,2,6.14,3.07,Non-specified cocaine-type,2011.0,2012.0
Netherlands,Philippines,1,69.847,69.847,Non-specified cocaine-type,2014.0,2014.0
Netherlands,Portugal,1,0.001,0.001,Non-specified cocaine-type,2016.0,2016.0
Netherlands,Romania,8,2.875,0.359,Non-specified cocaine-type,2011.0,2016.0
Netherlands,Russian Federation,7,1.159,0.166,Non-specified cocaine-type,2012.0,2014.0
Netherlands,Spain,6,20.27,3.378,Non-specified cocaine-type,2011.0,2016.0
Netherlands,Sweden,2,1.19,0.595,Non-specified cocaine-type,2012.0,2012.0
Netherlands,Turkey,4,47.326,11.831,Non-specified cocaine-type,2016.0,2016.0
Netherlands Antilles,Portugal,1,1140.5,1140.5,Non-specified cocaine-type,2015.0,2015.0
Nicaragua,El Salvador,1,6.0,6.0,Non-specified cocaine-type,2013.0,2013.0
Nicaragua,Guatemala,1,205.553,205.553,Non-specified cocaine-type,2013.0,2013.0
Nicaragua,Italy,1,1.04,1.04,Non-specified cocaine-type,2012.0,2012.0
Nicaragua,Mexico,1,1.005,1.005,Non-specified cocaine-type,2012.0,2012.0
Nicaragua,Spain,3,2.494,0.831,Non-specified cocaine-type,2012.0,2014.0
Nigeria,Austria,1,0.97,0.97,Non-specified cocaine-type,2012.0,2012.0
Nigeria,Cameroon,1,1.17,1.17,Non-specified cocaine-type,2012.0,2012.0
Nigeria,China,1,1.2,1.2,Non-specified cocaine-type,2012.0,2012.0
Nigeria,Gabon,1,0.5,0.5,Non-specified cocaine-type,2013.0,2013.0
Nigeria,Hungary,1,0.861,0.861,Non-specified cocaine-type,2013.0,2013.0
Nigeria,India,3,2.48,0.827,Non-specified cocaine-type,2011.0,2013.0
Nigeria,Italy,5,6.828,1.366,Non-specified cocaine-type,2012.0,2014.0
Nigeria,Morocco,1,1.712,1.712,Non-specified cocaine-type,2016.0,2016.0
Nigeria,Pakistan,2,0.425,0.212,Non-specified cocaine-type,2012.0,2013.0
Nigeria,Poland,1,2.0,2.0,Non-specified cocaine-type,2012.0,2012.0
Nigeria,Senegal,1,0.515,0.515,Non-specified cocaine-type,2013.0,2013.0
Nigeria,South Africa,1,6.1,6.1,Non-specified cocaine-type,2013.0,2013.0
Nigeria,Spain,6,16.72,2.787,Non-specified cocaine-type,2012.0,2015.0
Nigeria,Turkey,4,6.16,1.54,Non-specified cocaine-type,2012.0,2013.0
Nigeria,United Kingdom,12,18.395,1.533,Non-specified cocaine-type,2012.0,2013.0
Nigeria,United States,1,1.315,1.315,Non-specified cocaine-type,2011.0,2011.0
Other,Ghana,1,281.604,281.604,Non-specified cocaine-type,2013.0,2013.0
Other,Other,1,1.0,1.0,Non-specified cocaine-type,2013.0,2013.0
Pakistan,Australia,1,0.33,0.33,Non-specified cocaine-type,2013.0,2013.0
Pakistan,Brazil,1,1.05,1.05,Non-specified cocaine-type,2015.0,2015.0
Pakistan,Malaysia,1,1.125,1.125,Non-specified cocaine-type,2012.0,2012.0
Pakistan,Mali,1,1.6,1.6,Non-specified cocaine-type,2014.0,2014.0
Pakistan,Netherlands,1,2.0,2.0,Non-specified cocaine-type,2016.0,2016.0
Pakistan,Nigeria,2,0.94,0.47,Non-specified cocaine-type,2015.0,2016.0
Pakistan,Pakistan,5,2.315,0.463,Non-specified cocaine-type,2013.0,2016.0
Pakistan,Qatar,1,4.62,4.62,Non-specified cocaine-type,2015.0,2015.0
Pakistan,Saudi Arabia,1,1.85,1.85,Non-specified cocaine-type,2013.0,2013.0
Pakistan,South Africa,3,1.79,0.597,Non-specified cocaine-type,2014.0,2015.0
Pakistan,Spain,1,2.03,2.03,Non-specified cocaine-type,2012.0,2012.0
Pakistan,Thailand,1,0.63,0.63,Non-specified cocaine-type,2013.0,2013.0
Pakistan,United Arab Emirates,2,1.555,0.778,Non-specified cocaine-type,2015.0,2015.0
Pakistan,United Kingdom,2,0.27,0.135,Non-specified cocaine-type,2013.0,2013.0
Panama,Belgium,3,12.25,4.083,Non-specified cocaine-type,2011.0,2014.0
Panama,China,1,1.125,1.125,Non-specified cocaine-type,2011.0,2011.0
Panama,Cuba,3,1.151,0.384,Non-specified cocaine-type,2013.0,2013.0
Panama,Ghana,1,0.335,0.335,Non-specified cocaine-type,2013.0,2013.0
Panama,Ireland,1,0.155,0.155,Non-specified cocaine-type,2012.0,2012.0
Panama,Italy,6,271.709,45.285,Non-specified cocaine-type,2012.0,2013.0
Panama,Nicaragua,1,0.15,0.15,Non-specified cocaine-type,2014.0,2014.0
Panama,Nigeria,2,10.5,5.25,Non-specified cocaine-type,2013.0,2013.0
Panama,Portugal,2,216.938,108.469,Non-specified cocaine-type,2011.0,2012.0
Panama,Russian Federation,1,0.259,0.259,Non-specified cocaine-type,2011.0,2011.0
Panama,Spain,134,2542.437,18.973,Non-specified cocaine-type,2011.0,2016.0
Panama,United Kingdom,4,6.523,1.631,Non-specified cocaine-type,2013.0,2016.0
Papua New Guinea,Spain,1,0.081,0.081,Non-specified cocaine-type,2016.0,2016.0
Paraguay,Argentina,1,0.9,0.9,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Paraguay,Brazil,10,254.349,25.435,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
Paraguay,Bulgaria,5,4.362,0.872,Non-specified cocaine-type,2011.0,2012.0
Paraguay,China,1,1.2,1.2,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
Paraguay,Egypt,2,3.935,1.967,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Paraguay,Germany,3,3.005,1.002,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
Paraguay,Hong Kong,1,1.044,1.044,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
Paraguay,Israel,1,1.398,1.398,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Paraguay,Italy,8,342.835,42.854,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
Paraguay,Libyan Arab Jamahiriya,1,4.23,4.23,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Paraguay,Mozambique,2,15.706,7.853,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Paraguay,Netherlands,5,6.231,1.246,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
Paraguay,Paraguay,113,3642.663,32.236,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
Paraguay,Portugal,4,2.384,0.596,Non-specified cocaine-type,2011.0,2013.0
Paraguay,South Africa,1,0.84,0.84,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2012.0
Paraguay,Spain,117,980.821,8.383,Non-specified cocaine-type,2011.0,2016.0
Paraguay,Switzerland,3,9.005,3.002,"Cocaine hydrochloride (HCl, powder cocaine)",2012.0,2013.0
Paraguay,Turkey,2,43.526,21.763,"Cocaine hydrochloride (HCl, powder cocaine)",2013.0,2013.0
Peru,Austria,4,10.127,2.532,Non-specified cocaine-type,2012.0,2015.0
Peru,Belgium,11,117.983,10.726,Non-specified cocaine-type,2011.0,2013.0
Peru,Bulgaria,6,4.552,0.759,Non-specified cocaine-type,2012.0,2014.0
Peru,Chile,3,5.5,1.833,Non-specified cocaine-type,2016.0,2016.0
Peru,Cuba,1,2.56,2.56,Non-specified cocaine-type,2014.0,2014.0
Peru,Finland,1,1.0,1.0,Non-specified cocaine-type,2012.0,2012.0
Peru,France,2,97.55,48.775,Non-specified cocaine-type,2012.0,2013.0
Peru,Hungary,2,2.265,1.132,Non-specified cocaine-type,2012.0,2013.0
Peru,Ireland,1,1.834,1.834,Non-specified cocaine-type,2015.0,2015.0
Peru,Israel,1,0.546,0.546,Non-specified cocaine-type,2011.0,2011.0
Peru,Italy,30,206.867,6.896,Non-specified cocaine-type,2011.0,2016.0
Peru,Morocco,4,257.452,64.363,Non-specified cocaine-type,2011.0,2016.0
Peru,Netherlands,5,20.42,4.084,Non-specified cocaine-type,2012.0,2015.0
Peru,Peru,5,104.821,20.964,Non-specified cocaine-type,2011.0,2015.0
Peru,Portugal,25,174.924,6.997,Non-specified cocaine-type,2011.0,2015.0
Peru,Romania,1,0.215,0.215,Coca leaf,2012.0,2012.0
Peru,Russian Federation,5,3.841,0.768,Non-specified cocaine-type,2013.0,2014.0
Peru,Serbia,1,2.5,2.5,Non-specified cocaine-type,2013.0,2013.0
Peru,Slovenia,1,111.065,111.065,Non-specified cocaine-type,2012.0,2012.0
Peru,South Africa,1,0.96,0.96,Non-specified cocaine-type,2012.0,2012.0
Peru,Spain,479,5975.719,12.475,Non-specified cocaine-type,2011.0,2016.0
Peru,United Kingdom,3,6.266,2.089,Non-specified cocaine-type,2011.0,2014.0
Philippines,Hong Kong,1,1.08,1.08,Non-specified cocaine-type,2015.0,2015.0
Philippines,"Macau, SAR of China",2,4.223,2.112,Non-specified cocaine-type,2016.0,2016.0
Portugal,Angola,1,2.32,2.32,Non-specified cocaine-type,2012.0,2012.0
Portugal,Austria,3,0.601,0.2,Non-specified cocaine-type,2013.0,2015.0
Portugal,Denmark,1,0.639,0.639,Non-specified cocaine-type,2011.0,2011.0
Portugal,France,1,0.164,0.164,Non-specified cocaine-type,2014.0,2014.0
Portugal,Italy,2,1.413,0.706,Non-specified cocaine-type,2012.0,2012.0
